tenure_milestone_months,customers_reaching_milestone,milestone_reach_pct,retained_customers,churned_customers,milestone_retention_rate_pct
1,7032,99.84381655544512,5163,1869,73.42150170648463
2,6419,91.1401391452506,4930,1489,76.80324038012152
3,6181,87.76089734488144,4815,1366,77.90001617861188
6,5672,80.53386341047849,4547,1125,80.1657263751763
9,5308,75.36561124520802,4316,992,81.3112283345893
12,4974,70.62331392872355,4104,870,82.50904704463208
18,4406,62.55856879170808,3727,679,84.58919655015887
24,3927,55.75748970609116,3366,561,85.71428571428571
36,3051,43.31960812153912,2683,368,87.93838085873485
48,2303,32.69913389180747,2081,222,90.36039947894051
60,1483,21.05636802498935,1384,99,93.3243425488874
72,362,5.139855175351412,356,6,98.34254143646409
