contract_type,payment_method,total_customers,churned_customers,segment_mrr_lost,pct_of_total_churned_mrr,cumulative_mrr_at_risk,cumulative_pct_mrr_at_risk,priority_rank
Month-to-month,Electronic check,1850,994,77315.6,55.57,77315.6,55.57,1
Month-to-month,Bank transfer (automatic),589,201,15151.95,10.89,92467.55,66.46,2
Month-to-month,Mailed check,893,282,15044.4,10.81,107511.95,77.27,3
Month-to-month,Credit card (automatic),543,178,13335.15,9.58,120847.1,86.86,4
One year,Electronic check,347,64,5826.8,4.19,126673.9,91.05,5
One year,Credit card (automatic),398,41,3544.65,2.55,130218.55,93.59,6
One year,Bank transfer (automatic),391,38,3127.15,2.25,133345.7,95.84,7
Two year,Bank transfer (automatic),564,19,1812.8,1.3,135158.5,97.14,8
One year,Mailed check,337,23,1619.85,1.16,136778.35,98.31,9
Two year,Electronic check,168,13,1146.35,0.82,137924.7,99.13,10
Two year,Credit card (automatic),581,13,1066.8,0.77,138991.5,99.9,11
Two year,Mailed check,382,3,139.35,0.1,139130.85,100.0,12
